2021-01-01,Friday,New Year's Day,Active
2021-01-02,Saturday,New Year's Day,Active
2021-03-14,Sunday,Summer Day,Active
2021-03-22,Monday,Nevruz Day,Active
2021-04-04,Sunday,Catholic Easter,Active
2021-05-01,Saturday,International Workerâ€™s Day,Active
2021-05-02,Sunday,Orthodox Easter,Active
2021-05-13,Thursday,Eid al-Fitr (End of Ramadan),Active
2021-07-20,Tuesday,Eid al-Adha (Feast of Sacrifice),Active
2021-09-05,Sunday,Saint Teresa Sanctification Day,Active
2021-11-28,Sunday,Flag and Independence Day,Active
2021-11-29,Monday,Liberation Day,Active
2021-12-08,Wednesday,National Youth Day,Active
2021-12-25,Saturday,Christmas Day,Active